Checked,helix,beta,c,unkown,error,Protein FDR Confidence,Master,Accession,Description,Exp. q-value,Sum PEP Score,Coverage,# Peptides,# PSMs,# Unique Peptides,# Protein Groups,# AAs,MW [kDa],calc. pI,Modifications,Entrez Gene ID,Ensembl Gene ID,Gene ID,Chromosome,Biological Process,Cellular Component,Molecular Function,Pfam IDs,emPAI,Score Sequest HT,# Peptides Sequest HT
False,,,,,,High,Master Protein,Q9H4M9,EH domain-containing protein 1 OS=Homo sapiens GN=EHD1 PE=1 SV=2,0.0,15.5057563228556,17.7902621722846,5,5,5,1,534,60.589,6.83,Acetyl [N-Term],10938,ENSG00000110047.17,EHD1,11,cell organization and biogenesis;coagulation;regulation of biological process;response to stimulus;transport,endosome;membrane,metal ion binding;nucleotide binding;protein binding,"Pf00350, Pf01926, Pf12763",0.389,14.3408923149109,5
False,,,,,,High,Master Protein,P11766,Alcohol dehydrogenase class-3 OS=Homo sapiens GN=ADH5 PE=1 SV=4,0.0,15.4643770196392,16.8449197860963,4,5,4,1,374,39.698,7.49,,128,ENSG00000197894.10,ADH5,4,metabolic process;response to stimulus,cytoplasm;cytosol;mitochondrion,catalytic activity;metal ion binding;protein binding,"Pf00107, Pf08240",0.73,12.7032606601715,4
False,,,,,,High,Master Protein,P0DP23,Calmodulin-1 OS=Homo sapiens GN=CALM1 PE=1 SV=1,0.0,15.433417152596,39.5973154362416,3,6,3,1,149,16.827,4.22,,808; 805; 801,ENSG00000160014.16; ENSG00000143933.16; ENSG00000198668.10,CALM3; CALM2; CALM1,19; 2; 14,metabolic process;regulation of biological process;response to stimulus;transport,cytoplasm;cytoskeleton;cytosol;extracellular;membrane,catalytic activity;enzyme regulator activity;metal ion binding;protein binding;transporter activity,"Pf00036, Pf08726, Pf12763, Pf13202, Pf13405, Pf13499, Pf13833, Pf14658",2.981,20.1908936500549,3
False,,,,,,High,Master Protein,P28838,Cytosol aminopeptidase OS=Homo sapiens GN=LAP3 PE=1 SV=3,0.0,15.3786990143949,21.3872832369942,6,6,6,1,519,56.131,7.93,,51056,ENSG00000002549.12,LAP3,4,metabolic process,cytoplasm;cytosol;mitochondrion;nucleus,catalytic activity;metal ion binding,"Pf00883, Pf02789",0.468,15.7832443714142,6
False,,,,,,High,Master Protein,O15371,Eukaryotic translation initiation factor 3 subunit D OS=Homo sapiens GN=EIF3D PE=1 SV=1,0.0,15.3244758495031,17.8832116788321,4,5,4,1,548,63.932,6.05,,8664,ENSG00000100353.17,EIF3D,22,cell organization and biogenesis;metabolic process;regulation of biological process,cytoplasm;cytosol;membrane,protein binding;RNA binding,Pf05091,0.532,14.3874473571777,4
False,,,,,,High,Master Protein,P52788,Spermine synthase OS=Homo sapiens GN=SMS PE=1 SV=2,0.0,15.2951787723523,21.5846994535519,4,4,4,1,366,41.242,5.02,,6611,ENSG00000102172.15,SMS,X,metabolic process,cytosol,catalytic activity,Pf01564,0.492,13.9945156574249,4
False,,,,,,High,Master Protein,Q01995,Transgelin OS=Homo sapiens GN=TAGLN PE=1 SV=4,0.0,15.2686403940387,30.3482587064677,5,5,5,1,201,22.596,8.84,,6876,ENSG00000149591.16,TAGLN,11,cell differentiation,cytoplasm,protein binding,"Pf00307, Pf00402",0.968,14.3148384094238,5
False,,,,,,High,Master Protein,Q9NZN4,EH domain-containing protein 2 OS=Homo sapiens GN=EHD2 PE=1 SV=2,0.0,15.2356169604376,14.3646408839779,5,5,5,1,543,61.123,6.46,Acetyl [N-Term],30846,ENSG00000024422.11,EHD2,19,cell organization and biogenesis;coagulation;regulation of biological process;transport,cytoplasm;cytoskeleton;cytosol;endosome;membrane;nucleus,catalytic activity;metal ion binding;nucleotide binding;protein binding,"Pf00350, Pf01926, Pf12763",0.377,14.3173285722733,5
False,,,,,,High,Master Protein,P15121,Aldose reductase OS=Homo sapiens GN=AKR1B1 PE=1 SV=3,0.0,15.1965740720954,31.6455696202532,6,7,5,1,316,35.83,6.98,,231,ENSG00000085662.13,AKR1B1,7,metabolic process;regulation of biological process;response to stimulus,cytoplasm;cytosol;extracellular;vacuole,catalytic activity;protein binding,Pf00248,0.931,18.6811552047729,6
False,,,,,,High,Master Protein,P05386,60S acidic ribosomal protein P1 OS=Homo sapiens GN=RPLP1 PE=1 SV=1,0.0,15.1901872705442,56.140350877193,3,4,3,1,114,11.507,4.32,,6176,ENSG00000137818.11,RPLP1,15,cell organization and biogenesis;metabolic process;regulation of biological process;transport,cytosol;ribosome,enzyme regulator activity;protein binding;structural molecule activity,Pf00428,5.31,13.5587558746338,3
False,,,,,,High,Master Protein,Q13492,Phosphatidylinositol-binding clathrin assembly protein OS=Homo sapiens GN=PICALM PE=1 SV=2,0.0,15.1546707287212,3.68098159509202,2,3,2,1,652,70.71,7.9,,8301,ENSG00000073921.17,PICALM,11,cell organization and biogenesis;cell proliferation;metabolic process;regulation of biological process;response to stimulus;transport,cell surface;cytosol;endosome;Golgi;membrane;nucleus,protein binding,"Pf01417, Pf07651",0.28,12.1398859024048,2
False,,,,,,High,Master Protein,P62879,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2 OS=Homo sapiens GN=GNB2 PE=1 SV=3,0.0,15.1469532982963,27.0588235294118,5,5,4,1,340,37.307,6.0,,2783,ENSG00000172354.9,GNB2,7,metabolic process;regulation of biological process;response to stimulus,cytoplasm;cytosol;membrane,catalytic activity;protein binding;signal transducer activity,Pf00400,1.054,16.5356161594391,5
False,,,,,,High,Master Protein,O15144,Actin-related protein 2/3 complex subunit 2 OS=Homo sapiens GN=ARPC2 PE=1 SV=1,0.0,15.1363077604936,28.6666666666667,6,7,6,1,300,34.311,7.36,,10109,ENSG00000163466.15,ARPC2,2,cell organization and biogenesis;cellular component movement;regulation of biological process;response to stimulus,cytoplasm;cytoskeleton;cytosol;endosome;membrane,protein binding;structural molecule activity,Pf04045,1.015,16.3817455768585,6
False,,,,,,High,Master Protein,P62753,40S ribosomal protein S6 OS=Homo sapiens GN=RPS6 PE=1 SV=1,0.0,15.0659627555839,29.3172690763052,5,5,5,1,249,28.663,10.84,,6194,ENSG00000137154.12,RPS6,9,cell death;cell differentiation;cell organization and biogenesis;cell proliferation;metabolic process;regulation of biological process;response to stimulus;transport,cytoplasm;cytosol;membrane;nucleus;ribosome,protein binding;RNA binding;structural molecule activity,Pf01092,1.424,16.627370595932,5
False,,,,,,High,Master Protein,P40429,60S ribosomal protein L13a OS=Homo sapiens GN=RPL13A PE=1 SV=2,0.0,15.0152791910474,24.6305418719212,6,6,6,1,203,23.562,10.93,,23521,ENSG00000142541.16,RPL13A,19,cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus;transport,cytoplasm;cytosol;membrane;nucleus;ribosome,RNA binding;structural molecule activity,Pf00572,1.254,14.4863266944885,6
False,,,,,,High,Master Protein,Q8N1F7,Nuclear pore complex protein Nup93 OS=Homo sapiens GN=NUP93 PE=1 SV=2,0.0,14.9786147335739,3.78510378510379,1,2,1,1,819,93.43,5.72,Acetyl [N-Term],9688,ENSG00000102900.12,NUP93,16,cell organization and biogenesis;cellular component movement;metabolic process;regulation of biological process;response to stimulus;transport,membrane;nucleus,protein binding;structural molecule activity,Pf04097,0.081,8.79957842826843,1
False,,,,,,High,Master Protein,P55786,Puromycin-sensitive aminopeptidase OS=Homo sapiens GN=NPEPPS PE=1 SV=2,0.0,14.9724488887062,10.3373231773667,5,5,5,1,919,103.211,5.72,,9520,ENSG00000141279.15,NPEPPS,17,metabolic process;response to stimulus,cytoplasm;cytosol;nucleus,catalytic activity;metal ion binding,"Pf01433, Pf11838, Pf13485",0.224,11.5960137844086,5
False,,,,,,High,Master Protein,Q9UMY4,Sorting nexin-12 OS=Homo sapiens GN=SNX12 PE=1 SV=3,0.0,14.9617096707796,39.5348837209302,4,4,4,1,172,19.718,7.87,,29934,,SNX12,X,cell organization and biogenesis;regulation of biological process;transport,endosome;membrane,protein binding,Pf00787,1.154,11.2894518375397,4
False,,,,,,High,Master Protein,Q96AG4,Leucine-rich repeat-containing protein 59 OS=Homo sapiens GN=LRRC59 PE=1 SV=1,0.0,14.8960086169938,30.9446254071661,5,6,5,1,307,34.909,9.57,,55379,ENSG00000108829.9,LRRC59,17,,endoplasmic reticulum;membrane;nucleus,protein binding;RNA binding,"Pf12799, Pf13855",1.154,18.5494294166565,5
False,,,,,,High,Master Protein,P62857,40S ribosomal protein S28 OS=Homo sapiens GN=RPS28 PE=1 SV=1,0.0,14.8186066640635,56.5217391304348,5,5,5,1,69,7.836,10.7,,6234,ENSG00000233927.4,RPS28,19,cell organization and biogenesis;metabolic process;transport,cytosol;ribosome,protein binding;RNA binding;structural molecule activity,Pf01200,45.416,11.6376569271088,5
False,,,,,,High,Master Protein,P61088,Ubiquitin-conjugating enzyme E2 N OS=Homo sapiens GN=UBE2N PE=1 SV=1,0.0,14.8083373406538,62.5,4,4,4,1,152,17.127,6.57,,7334,ENSG00000177889.9,UBE2N,12,cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus;transport,cytoplasm;cytosol;nucleus,catalytic activity;nucleotide binding;protein binding;RNA binding,"Pf00179, Pf05743, Pf05773",1.31,13.3469622135162,4
False,,,,,,High,Master Protein,P39019,40S ribosomal protein S19 OS=Homo sapiens GN=RPS19 PE=1 SV=2,0.0,14.8026897910717,37.9310344827586,8,8,8,1,145,16.051,10.32,,6223,ENSG00000105372.6,RPS19,19,cell differentiation;cell organization and biogenesis;cellular component movement;defense response;metabolic process;regulation of biological process;response to stimulus;transport,cytoplasm;cytosol;membrane;nucleus;ribosome,protein binding;RNA binding;structural molecule activity,Pf01090,3.642,17.5792179107666,8
False,,,,,,High,Master Protein,Q07021,"Complement component 1 Q subcomponent-binding protein, mitochondrial OS=Homo sapiens GN=C1QBP PE=1 SV=1",0.0,14.6937927597139,33.3333333333333,4,6,4,1,282,31.343,4.84,,708,ENSG00000108561.8,C1QBP,17,cell death;cell organization and biogenesis;defense response;metabolic process;regulation of biological process;response to stimulus,cell surface;cytoplasm;cytosol;extracellular;membrane;mitochondrion;nucleus;organelle lumen,protein binding;RNA binding,Pf02330,0.848,19.6654162406921,4
False,,,,,,High,Master Protein,P19367,Hexokinase-1 OS=Homo sapiens GN=HK1 PE=1 SV=3,0.0,14.6551642529545,11.7775354416576,5,5,5,1,917,102.42,6.8,,3098,ENSG00000156515.21,HK1,10,cellular homeostasis;metabolic process;regulation of biological process,cytosol;membrane;mitochondrion,catalytic activity;nucleotide binding;protein binding,"Pf00349, Pf03727",0.238,14.2930080890656,5
False,,,,,,High,Master Protein,O75367,Core histone macro-H2A.1 OS=Homo sapiens GN=H2AFY PE=1 SV=4,0.0,14.6258833433162,22.3118279569892,6,7,6,1,372,39.592,9.79,,9555,ENSG00000113648.16,H2AFY,5,cell organization and biogenesis;regulation of biological process,chromosome;nucleus,DNA binding;enzyme regulator activity;protein binding,"Pf00125, Pf01661",1.336,21.3207743167877,6
False,,,,,,High,Master Protein,P43686,26S proteasome regulatory subunit 6B OS=Homo sapiens GN=PSMC4 PE=1 SV=2,0.0,14.5617862878361,23.444976076555,6,6,6,1,418,47.337,5.21,Acetyl [N-Term],5704,ENSG00000281221.2; ENSG00000013275.7,PSMC4,19; CHR_HG2021_PATCH,metabolic process;regulation of biological process;response to stimulus;transport,cytoplasm;cytosol;membrane;nucleus;proteasome,catalytic activity;nucleotide binding;protein binding;RNA binding,"Pf00004, Pf00006, Pf00910, Pf01057, Pf01078, Pf05496, Pf07724, Pf07726, Pf07728, Pf13191",0.738,18.5298869609833,6
False,,,,,,High,Master Protein,Q58FF3,Putative endoplasmin-like protein OS=Homo sapiens GN=HSP90B2P PE=5 SV=1,0.0,14.5254316308462,10.2756892230576,4,5,1,1,399,45.83,5.26,,7190,,HSP90B2P,15,metabolic process;response to stimulus,,nucleotide binding;protein binding,Pf00183,0.585,10.9447338581085,4
False,,,,,,High,Master Protein,E9PAV3,"Nascent polypeptide-associated complex subunit alpha, muscle-specific form OS=Homo sapiens GN=NACA PE=1 SV=1",0.0,14.4831127885212,3.70548604427334,5,6,5,1,2078,205.295,9.58,,4666,ENSG00000196531.10,NACA,12,metabolic process;regulation of biological process,cytoplasm;nucleus,DNA binding,Pf01849,0.126,20.6964700222015,5
False,,,,,,High,Master Protein,P60891,Ribose-phosphate pyrophosphokinase 1 OS=Homo sapiens GN=PRPS1 PE=1 SV=2,0.0,14.445479476105,22.9559748427673,5,6,2,1,318,34.812,6.98,,5631,ENSG00000147224.10,PRPS1,X,metabolic process,cytosol,catalytic activity;metal ion binding;nucleotide binding;protein binding,"Pf00156, Pf13793, Pf14572",0.585,17.3880839347839,5
False,,,,,,High,Master Protein,Q12906,Interleukin enhancer-binding factor 3 OS=Homo sapiens GN=ILF3 PE=1 SV=3,0.0,14.4418155320313,7.71812080536913,3,3,3,1,894,95.279,8.76,,3609,ENSG00000129351.17,ILF3,19,defense response;metabolic process;regulation of biological process;response to stimulus,cytoplasm;extracellular;membrane;mitochondrion;nucleus,DNA binding;protein binding;RNA binding,"Pf00035, Pf07528, Pf14709",0.166,7.72604513168335,3
False,,,,,,High,Master Protein,P58546,Myotrophin OS=Homo sapiens GN=MTPN PE=1 SV=2,0.0,14.318972383266,54.2372881355932,3,4,3,1,118,12.887,5.52,,767558; 136319,ENSG00000105887.10,LUZP6; MTPN,7,cell differentiation;cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus,cytoplasm;cytosol;nucleus,DNA binding;protein binding,"Pf00023, Pf12796, Pf13606, Pf13637, Pf13857",2.162,7.88303446769714,3
False,,,,,,High,Master Protein,P04899,Guanine nucleotide-binding protein G(i) subunit alpha-2 OS=Homo sapiens GN=GNAI2 PE=1 SV=3,0.0,14.2586246201967,29.2957746478873,5,5,5,1,355,40.425,5.54,,2771,ENSG00000114353.16,GNAI2,3,cell division;cell proliferation;metabolic process;regulation of biological process;response to stimulus,cytoplasm;cytoskeleton;cytosol;membrane;nucleus,catalytic activity;metal ion binding;nucleotide binding;protein binding;signal transducer activity,"Pf00025, Pf00503",0.73,15.2551126480103,5
False,,,,,,High,Master Protein,Q14847,LIM and SH3 domain protein 1 OS=Homo sapiens GN=LASP1 PE=1 SV=2,0.0,14.2471177374385,39.8467432950192,6,6,6,1,261,29.698,7.05,,3927,ENSG00000002834.17,LASP1,17,regulation of biological process;transport,cytoplasm;cytoskeleton,metal ion binding;protein binding;transporter activity,"Pf00018, Pf00412, Pf00880, Pf07653, Pf14604",1.154,15.3028388023376,6
False,,,,,,High,Master Protein,P14854,Cytochrome c oxidase subunit 6B1 OS=Homo sapiens GN=COX6B1 PE=1 SV=2,0.0,14.2393430915576,58.1395348837209,4,4,4,1,86,10.186,7.05,,1340,ENSG00000126267.8,COX6B1,19,metabolic process;transport,membrane;mitochondrion,catalytic activity;transporter activity,Pf02297,2.728,12.5834200382233,4
False,,,,,,High,Master Protein,P68036,Ubiquitin-conjugating enzyme E2 L3 OS=Homo sapiens GN=UBE2L3 PE=1 SV=1,0.0,14.2335982383839,45.4545454545455,4,5,4,1,154,17.85,8.51,,7332,ENSG00000185651.14,UBE2L3,22,cell proliferation;metabolic process;regulation of biological process;response to stimulus,cytoplasm;cytosol;nucleus,catalytic activity;enzyme regulator activity;nucleotide binding;protein binding;RNA binding,Pf00179,3.217,16.2085835933685,4
False,,,,,,High,Master Protein,P01009,Alpha-1-antitrypsin OS=Homo sapiens GN=SERPINA1 PE=1 SV=3,0.0,14.2273220707095,4.06698564593301,2,3,2,1,418,46.707,5.59,,5265,ENSG00000197249.13,SERPINA1,14,cell organization and biogenesis;coagulation;defense response;metabolic process;regulation of biological process;response to stimulus;transport,endoplasmic reticulum;extracellular;Golgi;membrane;organelle lumen,enzyme regulator activity;protein binding,Pf00079,0.292,10.8690485954285,2
False,,,,,,High,Master Protein,P49591,"Serine--tRNA ligase, cytoplasmic OS=Homo sapiens GN=SARS PE=1 SV=3",0.0,14.1887939990035,20.6225680933852,6,6,6,1,514,58.74,6.43,,6301,ENSG00000031698.12,SARS,1,metabolic process;regulation of biological process,cytoplasm;cytosol;nucleus,catalytic activity;DNA binding;nucleotide binding;protein binding;RNA binding,"Pf00587, Pf02403",0.562,15.695109128952,6
False,,,,,,High,Master Protein,Q93052,Lipoma-preferred partner OS=Homo sapiens GN=LPP PE=1 SV=1,0.0,14.1816059151831,16.1764705882353,4,5,4,1,612,65.704,7.37,,4026,ENSG00000145012.13,LPP,3,,cytoplasm;cytosol;membrane;nucleus,metal ion binding;protein binding,"Pf00412, Pf02318, Pf03154",0.557,11.0837514400482,4
False,,,,,,High,Master Protein,O14979,Heterogeneous nuclear ribonucleoprotein D-like OS=Homo sapiens GN=HNRNPDL PE=1 SV=3,0.0,13.9553547737443,11.1904761904762,5,7,3,1,420,46.409,9.57,,9987,ENSG00000152795.17,HNRNPDL; HNRPDL,4,metabolic process;regulation of biological process;response to stimulus,cytoplasm;cytosol;nucleus;spliceosomal complex,DNA binding;protein binding;RNA binding,"Pf00076, Pf08777, Pf13893, Pf14259",0.957,18.8102756738663,5
False,,,,,,High,Master Protein,P12004,Proliferating cell nuclear antigen OS=Homo sapiens GN=PCNA PE=1 SV=1,0.0,13.9237424845042,19.5402298850575,5,5,5,1,261,28.75,4.69,,5111,ENSG00000132646.10,PCNA,20,cell differentiation;cell organization and biogenesis;cell proliferation;cellular homeostasis;metabolic process;regulation of biological process;response to stimulus,nucleus,catalytic activity;DNA binding;enzyme regulator activity;protein binding,"Pf00705, Pf02747",0.833,14.4008646011353,5
False,,,,,,High,Master Protein,O00571,ATP-dependent RNA helicase DDX3X OS=Homo sapiens GN=DDX3X PE=1 SV=3,0.0,13.8070975188986,8.45921450151057,4,4,4,1,662,73.198,7.18,,1654,ENSG00000215301.9,DDX3X,X,cell death;cell organization and biogenesis;defense response;metabolic process;regulation of biological process;response to stimulus;transport,cytoplasm;cytosol;extracellular;membrane;mitochondrion;nucleus;organelle lumen,catalytic activity;DNA binding;enzyme regulator activity;nucleotide binding;protein binding;RNA binding,"Pf00270, Pf00271, Pf04851",0.245,11.7224698066711,4
False,,,,,,High,Master Protein,Q16881,"Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens GN=TXNRD1 PE=1 SV=3",0.0,13.7525445755225,11.5562403697997,3,3,3,1,649,70.862,7.39,,7296,ENSG00000198431.15,TXNRD1,12,cell proliferation;cellular homeostasis;metabolic process;regulation of biological process;response to stimulus;transport,cytoplasm;cytosol;mitochondrion;nucleus,antioxidant activity;catalytic activity;nucleotide binding;protein binding,"Pf00070, Pf00462, Pf02852, Pf07992, Pf13738",0.199,12.693695306778,3
False,,,,,,High,Master Protein,P62195,26S proteasome regulatory subunit 8 OS=Homo sapiens GN=PSMC5 PE=1 SV=1,0.0,13.7410959545644,19.2118226600985,4,4,4,1,406,45.597,7.55,,5705,ENSG00000087191.12,PSMC5,17,metabolic process;regulation of biological process;response to stimulus;transport,cytoplasm;cytosol;membrane;nucleus;proteasome,catalytic activity;nucleotide binding;protein binding;RNA binding,"Pf00004, Pf00910, Pf01057, Pf01078, Pf05496, Pf06068, Pf06414, Pf07724, Pf07726, Pf07728, Pf13191, Pf13207, Pf13401",0.389,14.6266474723816,4
False,,,,,,High,Master Protein,P54819,"Adenylate kinase 2, mitochondrial OS=Homo sapiens GN=AK2 PE=1 SV=2",0.0,13.7030822813995,49.3723849372385,6,7,6,1,239,26.461,7.81,,204,ENSG00000004455.16,AK2,1,metabolic process,membrane;mitochondrion,catalytic activity;nucleotide binding,"Pf00406, Pf05191, Pf13207, Pf13671",1.581,19.9449746608734,6
False,,,,,,High,Master Protein,P54886,Delta-1-pyrroline-5-carboxylate synthase OS=Homo sapiens GN=ALDH18A1 PE=1 SV=2,0.0,13.6844677188253,5.91194968553459,3,3,3,1,795,87.248,7.12,,5832,ENSG00000059573.8,ALDH18A1,10,metabolic process,cytoplasm;cytosol;membrane;mitochondrion,catalytic activity;nucleotide binding;protein binding;RNA binding,"Pf00171, Pf00696",0.148,10.8575131893158,3
False,,,,,,High,Master Protein,P13797,Plastin-3 OS=Homo sapiens GN=PLS3 PE=1 SV=4,0.0,13.6824083056205,20.7936507936508,6,6,6,1,630,70.766,5.6,,5358,ENSG00000102024.17,PLS3,X,cell organization and biogenesis,cytoplasm;cytosol;membrane,metal ion binding;protein binding,"Pf00036, Pf00307, Pf13499",0.389,18.7449471950531,6
False,,,,,,High,Master Protein,P09972,Fructose-bisphosphate aldolase C OS=Homo sapiens GN=ALDOC PE=1 SV=2,0.0,13.6566618818271,17.3076923076923,4,5,1,1,364,39.431,6.87,,230,ENSG00000109107.13,ALDOC,17,cell differentiation;metabolic process;transport,cytoskeleton;cytosol;extracellular;mitochondrion;organelle lumen,catalytic activity;protein binding,Pf00274,0.65,15.9771881103516,4
False,,,,,,High,Master Protein,Q9NR30,Nucleolar RNA helicase 2 OS=Homo sapiens GN=DDX21 PE=1 SV=5,0.0,13.5627893335538,5.49169859514687,3,4,3,1,783,87.29,9.28,,9188,ENSG00000165732.12,DDX21,10,cell differentiation;metabolic process;regulation of biological process;response to stimulus,cytoplasm;membrane;nucleus,catalytic activity;nucleotide binding;protein binding;RNA binding,"Pf00270, Pf00271, Pf08152, Pf14617",0.233,11.5449562072754,3
False,,,,,,High,Master Protein,P32969,60S ribosomal protein L9 OS=Homo sapiens GN=RPL9 PE=1 SV=1,0.0,13.5541665217516,26.5625,3,3,3,1,192,21.85,9.95,,6133,ENSG00000163682.15,RPL9,4,cell organization and biogenesis;metabolic process;transport,cytosol;membrane;nucleus;ribosome,protein binding;RNA binding;structural molecule activity,Pf00347,0.874,10.7132096290588,3
False,,,,,,High,Master Protein,Q96D15,Reticulocalbin-3 OS=Homo sapiens GN=RCN3 PE=1 SV=1,0.0,13.5086942226652,34.1463414634146,5,5,5,1,328,37.47,4.89,,57333,ENSG00000142552.7,RCN3,19,,endoplasmic reticulum;organelle lumen,metal ion binding;protein binding,Pf13499,1.154,15.122772693634,5
False,,,,,,High,Master Protein,P55060,Exportin-2 OS=Homo sapiens GN=CSE1L PE=1 SV=3,0.0,13.5006065511039,8.85684860968074,4,5,4,1,971,110.346,5.77,Acetyl [N-Term],1434,ENSG00000124207.16,CSE1L,20,cell death;cell proliferation;transport,cytoplasm;cytosol;membrane;nucleus,protein binding;transporter activity,"Pf03378, Pf03810, Pf08506",0.22,17.2130062580109,4
False,,,,,,High,Master Protein,Q9BTT0,Acidic leucine-rich nuclear phosphoprotein 32 family member E OS=Homo sapiens GN=ANP32E PE=1 SV=1,0.0,13.3310562041351,23.134328358209,4,4,4,1,268,30.674,3.85,,81611,ENSG00000143401.14,ANP32E,1,cell organization and biogenesis;regulation of biological process;transport,cytoplasm;nucleus,enzyme regulator activity;protein binding,"Pf12799, Pf13855, Pf14580",1.512,13.7733256816864,4
False,,,,,,High,Master Protein,Q13243,Serine/arginine-rich splicing factor 5 OS=Homo sapiens GN=SRSF5 PE=1 SV=1,0.0,13.2664317440648,18.0147058823529,4,4,4,1,272,31.245,11.59,,6430,ENSG00000100650.15,SRSF5,14,cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus;transport,cytosol;nucleus,protein binding;RNA binding,"Pf00076, Pf13893, Pf14259",0.931,10.6277244091034,4
False,,,,,,High,Master Protein,Q9NQW7,Xaa-Pro aminopeptidase 1 OS=Homo sapiens GN=XPNPEP1 PE=1 SV=3,0.0,13.2385692589999,20.545746388443,5,5,5,1,623,69.873,5.67,,7511,,XPNPEP1,10,metabolic process,cytoplasm;cytosol,catalytic activity;metal ion binding;protein binding,"Pf00557, Pf01321",0.343,15.6940603256226,5
False,,,,,,High,Master Protein,Q13561,Dynactin subunit 2 OS=Homo sapiens GN=DCTN2 PE=1 SV=4,0.0,13.2220810280166,11.7206982543641,3,4,3,1,401,44.204,5.21,,10540,ENSG00000175203.15,DCTN2,12,cell organization and biogenesis;cell proliferation;regulation of biological process;transport,chromosome;cytoplasm;cytoskeleton;cytosol;membrane,catalytic activity;motor activity;protein binding,Pf04912,0.407,14.1024734973907,3
False,,,,,,High,Master Protein,P31689,DnaJ homolog subfamily A member 1 OS=Homo sapiens GN=DNAJA1 PE=1 SV=2,0.0,13.1642584716662,14.8614609571788,4,5,4,1,397,44.839,7.08,,3301,ENSG00000086061.15,DNAJA1,9,cellular component movement;metabolic process;regulation of biological process;response to stimulus;transport,cytoplasm;cytoskeleton;cytosol;endoplasmic reticulum;membrane;mitochondrion;nucleus,enzyme regulator activity;metal ion binding;nucleotide binding;protein binding,"Pf00226, Pf00684, Pf01556",0.688,11.7342846393585,4
False,,,,,,High,Master Protein,P17980,26S proteasome regulatory subunit 6A OS=Homo sapiens GN=PSMC3 PE=1 SV=3,0.0,13.1569938631149,17.0842824601367,4,5,4,1,439,49.172,5.24,,5702,ENSG00000165916.8,PSMC3,11,metabolic process;regulation of biological process;response to stimulus;transport,cytoplasm;cytosol;extracellular;membrane;nucleus;organelle lumen;proteasome,catalytic activity;enzyme regulator activity;nucleotide binding;protein binding,"Pf00004, Pf01078, Pf05496, Pf07724, Pf07728, Pf13191",0.532,13.6337752342224,4
False,,,,,,High,Master Protein,P31040,"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial OS=Homo sapiens GN=SDHA PE=1 SV=2",0.0,13.1032007137364,11.4457831325301,3,3,3,1,664,72.645,7.39,,6389,ENSG00000073578.16,SDHA,5,metabolic process;transport,membrane;mitochondrion,catalytic activity;nucleotide binding;protein binding,"Pf00890, Pf02910",0.205,10.5642802715302,3
False,,,,,,High,Master Protein,Q9Y3I0,tRNA-splicing ligase RtcB homolog OS=Homo sapiens GN=RTCB PE=1 SV=1,0.0,13.0838845141184,20.0,6,6,6,1,505,55.175,7.23,,51493,ENSG00000100220.11,C22orf28; RTCB,22,metabolic process,cytoplasm;cytosol;membrane;nucleus,catalytic activity;metal ion binding;nucleotide binding;protein binding;RNA binding,Pf01139,0.585,18.0202708244324,6
False,,,,,,High,Master Protein,Q92804,TATA-binding protein-associated factor 2N OS=Homo sapiens GN=TAF15 PE=1 SV=1,0.0,13.0812248784863,10.9797297297297,3,4,2,1,592,61.793,8.02,,8148,ENSG00000270647.5; ENSG00000276833.2,TAF15,17; CHR_HSCHR17_7_CTG4,regulation of biological process,cytoplasm;nucleus,DNA binding;metal ion binding;protein binding;RNA binding,"Pf00076, Pf00641, Pf13893, Pf14259",0.259,12.7898528575897,3
False,,,,,,High,Master Protein,P42167,"Lamina-associated polypeptide 2, isoforms beta/gamma OS=Homo sapiens GN=TMPO PE=1 SV=2",0.0,13.0708352366347,13.4361233480176,4,5,4,1,454,50.639,9.38,,7112,ENSG00000120802.13,TMPO,12,regulation of biological process,chromosome;cytoplasm;membrane;nucleus,DNA binding;protein binding,"Pf03020, Pf08198",0.557,10.9271657466888,4
False,,,,,,High,Master Protein,Q16891,MICOS complex subunit MIC60 OS=Homo sapiens GN=IMMT PE=1 SV=1,0.0,12.9678602673789,8.83905013192612,3,3,3,1,758,83.626,6.48,,10989,ENSG00000132305.20,IMMT,2,cell organization and biogenesis;cellular homeostasis,membrane;mitochondrion,protein binding;RNA binding,Pf09731,0.139,7.0905282497406,3
False,,,,,,High,Master Protein,P28482,Mitogen-activated protein kinase 1 OS=Homo sapiens GN=MAPK1 PE=1 SV=3,0.0,12.8633023006807,26.9444444444444,5,6,5,1,360,41.363,6.98,,5594,ENSG00000100030.14,MAPK1,22,cell communication;cell death;cell differentiation;cell proliferation;cellular component movement;cellular homeostasis;metabolic process;regulation of biological process;response to stimulus;transport,cytoplasm;cytoskeleton;cytosol;endosome;extracellular;Golgi;membrane;mitochondrion;nucleus;organelle lumen,catalytic activity;DNA binding;nucleotide binding;protein binding;signal transducer activity,"Pf00069, Pf01636, Pf07714",0.823,14.8307130336761,5
